DATE,CLVMNACSCAB1GQUK_PCH
2011-01-01,0.36106
2011-04-01,0.08566
2011-07-01,0.33636
2011-10-01,0.13092
2012-01-01,0.69279
2012-04-01,-0.14700
2012-07-01,1.21899
2012-10-01,-0.21659
2013-01-01,0.52910
2013-04-01,0.80402
2013-07-01,0.93479
2013-10-01,0.64196
2014-01-01,0.76803
2014-04-01,0.65099
2014-07-01,0.56424
2014-10-01,0.58543
2015-01-01,0.54112
2015-04-01,0.74677
2015-07-01,0.38717
2015-10-01,0.65616
2016-01-01,0.19904
2016-04-01,0.45270
2016-07-01,0.30553
2016-10-01,0.59668
2017-01-01,0.49609
2017-04-01,0.29292
2017-07-01,0.42341
2017-10-01,0.35500
2018-01-01,0.06903
2018-04-01,0.38263
2018-07-01,0.59646
2018-10-01,0.16676
2019-01-01,0.55238
2019-04-01,0.13840
2019-07-01,0.49727
2019-10-01,0.01725
2020-01-01,-3.01908
2020-04-01,-18.75268
2020-07-01,16.00348
